#Firmware: console20260214 firmware 20260220@4211171972 uaefi HONDA_OBD1 90
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,184141.628,16.656,0,0
0,0,0,1,184141.628,0.0,0,0
1,0,0,1,184158.289,16.661,0,0
0,0,0,1,184158.289,0.0,0,0
1,0,0,1,184174.963,16.674,0,0
0,0,0,1,184174.963,0.0,0,0
1,0,0,1,184191.582,16.619,0,0
0,0,0,1,184191.582,0.0,0,0
1,0,0,1,184208.298,16.716,0,0
0,0,0,1,184208.298,0.0,0,0
1,0,0,1,184224.945,16.647,0,0
0,0,0,1,184224.945,0.0,0,0
1,0,0,1,184241.624,16.679,0,0
0,0,0,1,184241.624,0.0,0,0
1,0,0,1,184258.287,16.663,0,0
0,0,0,1,184258.287,0.0,0,0
1,0,0,1,184274.949,16.662,0,0
0,0,0,1,184274.949,0.0,0,0
1,0,0,1,184291.615,16.666,0,0
0,0,0,1,184291.615,0.0,0,0
1,0,0,1,184308.319,16.704,0,0
0,0,0,1,184308.319,0.0,0,0
1,0,0,1,184324.992,16.673,0,0
0,0,0,1,184324.992,0.0,0,0
1,0,0,1,184341.627,16.635,0,0
0,0,0,1,184341.627,0.0,0,0
1,0,0,1,184358.287,16.66,0,0
0,0,0,1,184358.287,0.0,0,0
1,0,0,1,184374.96,16.673,0,0
0,0,0,1,184374.96,0.0,0,0
0,0,1,1,184386.08,11.12,0,0
0,0,0,1,184386.083,0.003,0,0
1,0,0,1,184391.647,5.564,0,0
0,0,0,1,184391.647,0.0,0,0
1,0,0,1,184408.278,16.631,0,0
0,0,0,1,184408.278,0.0,0,0
1,0,0,1,184424.985,16.707,0,0
0,0,0,1,184424.985,0.0,0,0
1,0,0,1,184441.632,16.647,0,0
0,0,0,1,184441.632,0.0,0,0
1,0,0,1,184458.29,16.658,0,0
0,0,0,1,184458.29,0.0,0,0
1,0,0,1,184474.995,16.705,0,0
0,0,0,1,184474.995,0.0,0,0
1,0,0,1,184491.646,16.651,0,0
0,0,0,1,184491.646,0.0,0,0
1,0,0,1,184508.311,16.665,0,0
0,0,0,1,184508.311,0.0,0,0
1,0,0,1,184524.926,16.615,0,0
0,0,0,1,184524.926,0.0,0,0
1,0,0,1,184541.596,16.67,0,0
0,0,0,1,184541.596,0.0,0,0
1,0,0,1,184558.28,16.684,0,0
0,0,0,1,184558.28,0.0,0,0
1,0,0,1,184574.922,16.642,0,0
0,0,0,1,184574.922,0.0,0,0
1,0,0,1,184591.599,16.677,0,0
0,0,0,1,184591.599,0.0,0,0
1,0,0,1,184608.286,16.687,0,0
0,0,0,1,184608.286,0.0,0,0
1,0,0,1,184624.982,16.696,0,0
0,0,0,1,184624.982,0.0,0,0
1,0,0,1,184641.623,16.641,0,0
0,0,0,1,184641.623,0.0,0,0
1,0,0,1,184658.321,16.698,0,0
0,0,0,1,184658.321,0.0,0,0
1,0,0,1,184674.954,16.633,0,0
0,0,0,1,184674.954,0.0,0,0
1,0,0,1,184691.596,16.642,0,0
0,0,0,1,184691.596,0.0,0,0
1,0,0,1,184708.315,16.719,0,0
0,0,0,1,184708.315,0.0,0,0
1,0,0,1,184724.963,16.648,0,0
0,0,0,1,184724.963,0.0,0,0
1,0,0,1,184741.624,16.661,0,0
0,0,0,1,184741.624,0.0,0,0
1,0,0,1,184758.312,16.688,0,0
0,0,0,1,184758.312,0.0,0,0
1,0,0,1,184774.954,16.642,0,0
0,0,0,1,184774.954,0.0,0,0
0,0,1,1,184786.077,11.123,0,0
0,0,0,1,184786.079,0.002,0,0
1,0,0,1,184791.63,5.551,0,0
0,0,0,1,184791.63,0.0,0,0
1,0,0,1,184808.341,16.711,0,0
0,0,0,1,184808.341,0.0,0,0
1,0,0,1,184824.994,16.653,0,0
0,0,0,1,184824.994,0.0,0,0
1,0,0,1,184841.619,16.625,0,0
0,0,0,1,184841.619,0.0,0,0
1,0,0,1,184858.305,16.686,0,0
0,0,0,1,184858.305,0.0,0,0
1,0,0,1,184874.984,16.679,0,0
0,0,0,1,184874.984,0.0,0,0
1,0,0,1,184891.656,16.672,0,0
0,0,0,1,184891.656,0.0,0,0
1,0,0,1,184908.341,16.685,0,0
0,0,0,1,184908.341,0.0,0,0
1,0,0,1,184924.991,16.65,0,0
0,0,0,1,184924.991,0.0,0,0
1,0,0,1,184941.638,16.647,0,0
0,0,0,1,184941.638,0.0,0,0
1,0,0,1,184958.311,16.673,0,0
0,0,0,1,184958.311,0.0,0,0
1,0,0,1,184974.982,16.671,0,0
0,0,0,1,184974.982,0.0,0,0
1,0,0,1,184991.654,16.672,0,0
0,0,0,1,184991.654,0.0,0,0
1,0,0,1,185008.314,16.66,0,0
0,0,0,1,185008.314,0.0,0,0
1,0,0,1,185024.956,16.642,0,0
0,0,0,1,185024.956,0.0,0,0
1,0,0,1,185041.668,16.712,0,0
0,0,0,1,185041.668,0.0,0,0
1,0,0,1,185058.355,16.687,0,0
0,0,0,1,185058.355,0.0,0,0
1,0,0,1,185075.0,16.645,0,0
0,0,0,1,185075.0,0.0,0,0
1,0,0,1,185091.673,16.673,0,0
0,0,0,1,185091.673,0.0,0,0
1,0,0,1,185108.3,16.627,0,0
0,0,0,1,185108.3,0.0,0,0
1,0,0,1,185124.982,16.682,0,0
0,0,0,1,185124.982,0.0,0,0
1,0,0,1,185141.684,16.702,0,0
0,0,0,1,185141.684,0.0,0,0
1,0,0,1,185158.356,16.672,0,0
0,0,0,1,185158.356,0.0,0,0
1,0,0,1,185175.016,16.66,0,0
0,0,0,1,185175.016,0.0,0,0
0,0,1,1,185186.144,11.128,0,0
0,0,0,1,185186.147,0.003,0,0
1,0,0,1,185191.661,5.514,0,0
0,0,0,1,185191.661,0.0,0,0
1,0,0,1,185208.337,16.676,0,0
0,0,0,1,185208.337,0.0,0,0
1,0,0,1,185224.984,16.647,0,0
0,0,0,1,185224.984,0.0,0,0
1,0,0,1,185241.708,16.724,0,0
0,0,0,1,185241.708,0.0,0,0
1,0,0,1,185258.366,16.658,0,0
0,0,0,1,185258.366,0.0,0,0
1,0,0,1,185275.018,16.652,0,0
0,0,0,1,185275.018,0.0,0,0
1,0,0,1,185291.694,16.676,0,0
0,0,0,1,185291.694,0.0,0,0
1,0,0,1,185308.366,16.672,0,0
0,0,0,1,185308.366,0.0,0,0
1,0,0,1,185325.014,16.648,0,0
0,0,0,1,185325.014,0.0,0,0
1,0,0,1,185341.712,16.698,0,0
0,0,0,1,185341.712,0.0,0,0
1,0,0,1,185358.35,16.638,0,0
0,0,0,1,185358.35,0.0,0,0
1,0,0,1,185374.997,16.647,0,0
0,0,0,1,185374.997,0.0,0,0
1,0,0,1,185391.715,16.718,0,0
0,0,0,1,185391.715,0.0,0,0
1,0,0,1,185408.339,16.624,0,0
0,0,0,1,185408.339,0.0,0,0
1,0,0,1,185425.005,16.666,0,0
0,0,0,1,185425.005,0.0,0,0
1,0,0,1,185441.71,16.705,0,0
0,0,0,1,185441.71,0.0,0,0
1,0,0,1,185458.325,16.615,0,0
0,0,0,1,185458.325,0.0,0,0
1,0,0,1,185475.021,16.696,0,0
0,0,0,1,185475.021,0.0,0,0
1,0,0,1,185491.675,16.654,0,0
0,0,0,1,185491.675,0.0,0,0
1,0,0,1,185508.337,16.662,0,0
0,0,0,1,185508.337,0.0,0,0
1,0,0,1,185525.05,16.713,0,0
0,0,0,1,185525.05,0.0,0,0
1,0,0,1,185541.712,16.662,0,0
0,0,0,1,185541.712,0.0,0,0
1,0,0,1,185558.331,16.619,0,0
0,0,0,1,185558.331,0.0,0,0
1,0,0,1,185575.017,16.686,0,0
0,0,0,1,185575.017,0.0,0,0
0,0,1,1,185586.168,11.151,0,0
0,0,0,1,185586.171,0.003,0,0
1,0,0,1,185591.662,5.491,0,0
0,0,0,1,185591.662,0.0,0,0
1,0,0,1,185608.34,16.678,0,0
0,0,0,1,185608.34,0.0,0,0
1,0,0,1,185625.015,16.675,0,0
0,0,0,1,185625.015,0.0,0,0
1,0,0,1,185641.694,16.679,0,0
0,0,0,1,185641.694,0.0,0,0
1,0,0,1,185658.368,16.674,0,0
0,0,0,1,185658.368,0.0,0,0
1,0,0,1,185674.991,16.623,0,0
0,0,0,1,185674.991,0.0,0,0
1,0,0,1,185691.671,16.68,0,0
0,0,0,1,185691.671,0.0,0,0
1,0,0,1,185708.358,16.687,0,0
0,0,0,1,185708.358,0.0,0,0
1,0,0,1,185725.02,16.662,0,0
0,0,0,1,185725.02,0.0,0,0
1,0,0,1,185741.716,16.696,0,0
0,0,0,1,185741.716,0.0,0,0
1,0,0,1,185758.287,16.571,0,0
0,0,0,1,185758.287,0.0,0,0
1,0,0,1,185775.034,16.747,0,0
0,0,0,1,185775.034,0.0,0,0
1,0,0,1,185791.738,16.704,0,0
0,0,0,1,185791.738,0.0,0,0
1,0,0,1,185808.345,16.607,0,0
0,0,0,1,185808.345,0.0,0,0
1,0,0,1,185825.019,16.674,0,0
0,0,0,1,185825.019,0.0,0,0
1,0,0,1,185841.709,16.69,0,0
0,0,0,1,185841.709,0.0,0,0
1,0,0,1,185858.372,16.663,0,0
0,0,0,1,185858.372,0.0,0,0
1,0,0,1,185875.024,16.652,0,0
0,0,0,1,185875.024,0.0,0,0
1,0,0,1,185891.712,16.688,0,0
0,0,0,1,185891.712,0.0,0,0
1,0,0,1,185908.372,16.66,0,0
